,n,R0,R1,R2,R3,R4,R,X,Q0,Q1,Q2,Q3,Q4,U0,U1,U2,U3,U4,Unnamed: 18
1,2,"0,0027","0,00201","0,00502","0,0224","0,0288","0,139","0,483","0,00261","0,00776","0,00727","0,0217","0,0278","0,00261","0,0077","0,00722","0,0212","0,0271",
2,3,"0,00271","0,00202","0,00504","0,0227","0,0292","0,14","0,725","0,00392","0,0117","0,0109","0,0329","0,0423","0,00391","0,0115","0,0108","0,0318","0,0406",
3,4,"0,00271","0,00202","0,00505","0,0229","0,0296","0,142","0,966","0,00524","0,0156","0,0146","0,0443","0,0572","0,00521","0,0154","0,0144","0,0424","0,0541",
4,5,"0,00271","0,00203","0,00507","0,0232","0,03","0,143","1,21","0,00655","0,0196","0,0184","0,056","0,0725","0,00651","0,0192","0,018","0,053","0,0676",
5,6,"0,00272","0,00204","0,00509","0,0234","0,0305","0,145","1,45","0,00787","0,0236","0,0221","0,0679","0,0882","0,00781","0,0231","0,0216","0,0636","0,081",
6,7,"0,00272","0,00205","0,00511","0,0237","0,0309","0,146","1,69","0,00919","0,0276","0,0259","0,08","0,104","0,0091","0,0269","0,0252","0,0741","0,0945",
7,8,"0,00272","0,00206","0,00513","0,024","0,0314","0,148","1,93","0,0105","0,0317","0,0297","0,0925","0,121","0,0104","0,0307","0,0288","0,0847","0,108",
8,9,"0,00273","0,00206","0,00515","0,0243","0,0318","0,15","2,17","0,0118","0,0358","0,0335","0,105","0,138","0,0117","0,0346","0,0324","0,0952","0,121",
9,10,"0,00273","0,00207","0,00517","0,0245","0,0323","0,151","2,41","0,0132","0,0399","0,0373","0,118","0,156","0,013","0,0384","0,036","0,106","0,135",
10,11,"0,00274","0,00208","0,00519","0,0248","0,0328","0,153","2,65","0,0145","0,0441","0,0412","0,132","0,174","0,0143","0,0422","0,0396","0,116","0,148",
50,51,"0,00288","0,00246","0,00606","0,0452","0,0793","0,293","11,9","0,0685","0,233","0,216","1,07","1,89","0,0641","0,189","0,178","0,518","0,653",
100,101,"0,00298","0,00278","0,00679","0,1","0,748","1,74","17,6","0,105","0,391","0,358","3,52","26,3","0,0949","0,281","0,264","0,779","0,963",
200,201,"0,00298","0,00278","0,00679","0,102","3,58","7,42","17,6","0,105","0,392","0,359","3,58",126,"0,0951","0,282","0,264","0,782","0,992",
300,301,"0,00298","0,00278","0,00679","0,102","6,42","13,1","17,6","0,105","0,392","0,359","3,58",226,"0,0951","0,282","0,264","0,782","0,996",
400,401,"0,00298","0,00278","0,00679","0,102","9,26","18,8","17,6","0,105","0,392","0,359","3,58",326,"0,0951","0,282","0,264","0,782","0,997",
500,501,"0,00298","0,00278","0,00679","0,102","12,1","24,5","17,6","0,105","0,392","0,359","3,58",426,"0,0951","0,282","0,264","0,782","0,998",
600,601,"0,00298","0,00278","0,00679","0,102","14,9","30,1","17,6","0,105","0,392","0,359","3,58",526,"0,0951","0,282","0,264","0,782","0,998",
700,701,"0,00298","0,00278","0,00679","0,102","17,8","35,8","17,6","0,105","0,392","0,359","3,58",626,"0,0951","0,282","0,264","0,782","0,998",
800,801,"0,00298","0,00278","0,00679","0,102","20,6","41,5","17,6","0,105","0,392","0,359","3,58",726,"0,0951","0,282","0,264","0,782","0,999",
900,901,"0,00298","0,00278","0,00679","0,102","23,5","47,2","17,6","0,105","0,392","0,359","3,58",826,"0,0951","0,282","0,264","0,782","0,999",
999,1000,"0,00298","0,00278","0,00679","0,102","26,3","52,8","17,6","0,105","0,392","0,359","3,58",925,"0,0951","0,282","0,264","0,782","0,999",
